Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (11250387),Davante Adams,11250387,WR/FLEX,6800,MIN@GB 09/16/2018 01:00PM ET,GB,19.8
RB,Leonard Fournette (11250664),Leonard Fournette,11250664,RB/FLEX,6800,NE@JAX 09/16/2018 04:25PM ET,JAX,8.5
WR,T.Y. Hilton (11250090),T.Y. Hilton,11250090,WR/FLEX,6700,IND@WAS 09/16/2018 01:00PM ET,IND,15.6
RB,James Conner (11250573),James Conner,11250573,RB/FLEX,6700,KC@PIT 09/16/2018 01:00PM ET,PIT,38.2
QB,Philip Rivers (11249916),Philip Rivers,11249916,QB,6700,LAC@BUF 09/16/2018 01:00PM ET,LAC,32.96
QB,Cam Newton (11249985),Cam Newton,11249985,QB,6600,CAR@ATL 09/16/2018 01:00PM ET,CAR,18.24
WR,Amari Cooper (11250403),Amari Cooper,11250403,WR/FLEX,6600,OAK@DEN 09/16/2018 04:25PM ET,OAK,2.8
RB,Dalvin Cook (11250687),Dalvin Cook,11250687,RB/FLEX,6500,MIN@GB 09/16/2018 01:00PM ET,MIN,14.5
WR,Golden Tate (11250015),Golden Tate,11250015,WR/FLEX,6500,DET@SF 09/16/2018 04:05PM ET,DET,20.9
QB,Tom Brady (11249884),Tom Brady,11249884,QB,6500,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
QB,Carson Wentz (11250393),Carson Wentz,11250393,QB,6400,PHI@TB 09/16/2018 01:00PM ET,PHI,0
WR,JuJu Smith-Schuster (11250730),JuJu Smith-Schuster,11250730,WR/FLEX,6400,KC@PIT 09/16/2018 01:00PM ET,PIT,19.9
QB,Kirk Cousins (11250033),Kirk Cousins,11250033,QB,6400,MIN@GB 09/16/2018 01:00PM ET,MIN,20.36
QB,Deshaun Watson (11250691),Deshaun Watson,11250691,QB,6300,HOU@TEN 09/16/2018 01:00PM ET,HOU,13.04
RB,Jay Ajayi (11250273),Jay Ajayi,11250273,RB/FLEX,6300,PHI@TB 09/16/2018 01:00PM ET,PHI,20.2
WR,Jarvis Landry (11250268),Jarvis Landry,11250268,WR/FLEX,6300,CLE@NO 09/16/2018 01:00PM ET,CLE,20.6
QB,Jared Goff (11250514),Jared Goff,11250514,QB,6300,ARI@LAR 09/16/2018 04:05PM ET,LAR,17.22
QB,Andrew Luck (11250060),Andrew Luck,11250060,QB,6200,IND@WAS 09/16/2018 01:00PM ET,IND,23.46
RB,Kareem Hunt (11250593),Kareem Hunt,11250593,RB/FLEX,6200,KC@PIT 09/16/2018 01:00PM ET,KC,4.9
WR,Marvin Jones Jr. (11250061),Marvin Jones Jr.,11250061,WR/FLEX,6200,DET@SF 09/16/2018 04:05PM ET,DET,9.4
WR,Emmanuel Sanders (11249957),Emmanuel Sanders,11249957,WR/FLEX,6200,OAK@DEN 09/16/2018 04:25PM ET,DEN,32.5
TE,Zach Ertz (11250124),Zach Ertz,11250124,TE/FLEX,6100,PHI@TB 09/16/2018 01:00PM ET,PHI,9.8
WR,Nelson Agholor (11250435),Nelson Agholor,11250435,WR/FLEX,6100,PHI@TB 09/16/2018 01:00PM ET,PHI,13.5
QB,Patrick Mahomes (11250752),Patrick Mahomes,11250752,QB,6100,KC@PIT 09/16/2018 01:00PM ET,KC,28.34
QB,Matthew Stafford (11249954),Matthew Stafford,11249954,QB,6100,DET@SF 09/16/2018 04:05PM ET,DET,12.04
WR,Brandin Cooks (11250373),Brandin Cooks,11250373,WR/FLEX,6100,ARI@LAR 09/16/2018 04:05PM ET,LAR,14.3
RB,Devonta Freeman (11250282),Devonta Freeman,11250282,RB/FLEX,6000,CAR@ATL 09/16/2018 01:00PM ET,ATL,8
QB,Alex Smith (11249902),Alex Smith,11249902,QB,6000,IND@WAS 09/16/2018 01:00PM ET,WAS,19.6
QB,Jimmy Garoppolo (11250213),Jimmy Garoppolo,11250213,QB,6000,DET@SF 09/16/2018 04:05PM ET,SF,12.04
WR,Larry Fitzgerald (11249914),Larry Fitzgerald,11249914,WR/FLEX,6000,ARI@LAR 09/16/2018 04:05PM ET,ARI,14.6
WR,Julian Edelman (11249974),Julian Edelman,11249974,WR/FLEX,6000,NE@JAX 09/16/2018 04:25PM ET,NE,0
QB,Russell Wilson (11250021),Russell Wilson,11250021,QB,6000,SEA@CHI 09/17/2018 08:15PM ET,SEA,22.42
RB,Chris Thompson (11250152),Chris Thompson,11250152,RB/FLEX,5900,IND@WAS 09/16/2018 01:00PM ET,WAS,24.8
WR,Alshon Jeffery (11250133),Alshon Jeffery,11250133,WR/FLEX,5900,PHI@TB 09/16/2018 01:00PM ET,PHI,0
TE,Travis Kelce (11250040),Travis Kelce,11250040,TE/FLEX,5900,KC@PIT 09/16/2018 01:00PM ET,KC,1.6
QB,Tyrod Taylor (11250008),Tyrod Taylor,11250008,QB,5900,CLE@NO 09/16/2018 01:00PM ET,CLE,24.58
WR,Robert Woods (11250216),Robert Woods,11250216,WR/FLEX,5900,ARI@LAR 09/16/2018 04:05PM ET,LAR,7.3
RB,Jordan Howard (11250623),Jordan Howard,11250623,RB/FLEX,5900,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.7
RB,Kenyan Drake (11250467),Kenyan Drake,11250467,RB/FLEX,5800,MIA@NYJ 09/16/2018 01:00PM ET,MIA,9.6
WR,Josh Gordon (11250131),Josh Gordon,11250131,WR/FLEX,5800,CLE@NO 09/16/2018 01:00PM ET,CLE,8.7
QB,Case Keenum (11249980),Case Keenum,11249980,QB,5800,OAK@DEN 09/16/2018 04:25PM ET,DEN,25.16
QB,Matt Ryan (11249901),Matt Ryan,11249901,QB,5700,CAR@ATL 09/16/2018 01:00PM ET,ATL,9.84
